code,config,period,d_qsim_l2_rel,d_qsim_max_abs,d_qsim_max_norm,n_steps
V713501001,GR4J_NSE,val,2.1776847469235997e-15,1.7053025658242404e-13,7.931416547786053e-14,3652
Y028406001,GR4J_NSE,val,4.418589544577878e-15,2.0605739337042905e-13,2.870354091156784e-13,3652
Y062402001,GR4J_NSE,val,1.1001063012746333e-15,5.062616992290714e-14,4.2218033732993804e-14,3652
Y152401001,GR4J_NSE,val,2.944926647477685e-14,4.2454928461665986e-13,8.074206622538908e-13,3652
Y503201001,GR4J_NSE,val,1.2112823534191468e-14,3.232969447708456e-13,5.916707280305843e-13,3652
Y510661001,GR4J_NSE,val,1.1109127926592555e-14,3.943512183468556e-13,5.778675353305245e-13,3652
Y523501001,GR4J_NSE,val,1.0525567303004513e-14,2.913225216616411e-13,5.411826090503522e-13,3652
Y531201001,GR4J_NSE,val,6.34468881721835e-15,3.801403636316536e-13,6.480939056321009e-13,3652
Y561501001,GR4J_NSE,val,1.9587877173453722e-14,5.684341886080801e-13,3.317303056188377e-13,3652
Y643401001,GR4J_NSE,val,1.4134821845489522e-14,3.481659405224491e-13,2.6984842186500694e-13,3652
A433301001,GR4J_KGE,cal,4.334703359116868e-15,7.194245199571014e-14,3.5865400820981053e-14,3653
A543101001,GR4J_KGE,cal,1.979481242018461e-15,4.263256414560601e-14,4.778354458123119e-14,3653
A673122001,GR4J_KGE,cal,4.319263463485997e-15,5.684341886080802e-14,6.01149102018704e-14,3653
A843101001,GR4J_KGE,cal,2.0332761704596224e-15,2.1316282072803006e-14,2.5716123144236177e-14,3653
A983201001,GR4J_KGE,cal,2.29343242744036e-15,3.597122599785507e-14,4.397870288052446e-14,3653
B134001001,GR4J_KGE,cal,1.7230484665593336e-15,2.220446049250313e-14,2.4036111232707467e-14,3653
B413201001,GR4J_KGE,cal,7.270898962890368e-15,4.6629367034256575e-14,5.037176146780825e-14,3653
B422431001,GR4J_KGE,cal,1.0700528852178331e-14,9.947598300641403e-14,7.962878366999769e-14,3653
B460101001,GR4J_KGE,cal,5.951940409830655e-15,4.796163466380676e-14,4.217296520347645e-14,3653
B463101001,GR4J_KGE,cal,8.131983500586793e-15,7.194245199571014e-14,6.335394484754e-14,3653
B532201001,GR4J_KGE,cal,2.7254088861763297e-15,5.5067062021407764e-14,3.3387419050155304e-14,3653
D020601001,GR4J_KGE,cal,4.531265833067296e-15,5.5067062021407764e-14,4.73584995052175e-14,3653
E403571001,GR4J_KGE,cal,1.0886234378268442e-14,1.2212453270876722e-13,9.407761867175652e-14,3653
E540651001,GR4J_KGE,cal,3.706540557886631e-14,2.318145675417327e-13,1.7664893728172068e-13,3653
F453000101,GR4J_KGE,cal,1.4434629490584737e-13,2.007283228522283e-13,4.913594901621194e-13,3653
H232201001,GR4J_KGE,cal,3.153399360861707e-15,4.1300296516055823e-14,5.996707168334653e-14,3653
H248201001,GR4J_KGE,cal,3.4844482569652075e-15,2.531308496145357e-14,3.3554425247868987e-14,3653
H413041010,GR4J_KGE,cal,3.246373681489123e-14,7.194245199571014e-14,2.1729507790409929e-13,3653
H438021010,GR4J_KGE,cal,9.06476451264473e-14,1.425526363618701e-13,3.6739623763936073e-13,3653
H514262001,GR4J_KGE,cal,3.2210715286636572e-15,4.085620730620576e-14,4.057616382531913e-14,3653
H602021010,GR4J_KGE,cal,6.9126703438709e-15,6.217248937900877e-14,7.211199122904807e-14,3653
H611061010,GR4J_KGE,cal,2.9889062911648214e-14,1.3500311979441904e-13,1.8605694328013778e-13,3653
H622101001,GR4J_KGE,cal,4.582560192795403e-15,3.4638958368304884e-14,3.7097868528455945e-14,3653
H642301001,GR4J_KGE,cal,2.1652319714800542e-14,4.884981308350689e-14,1.1562816809236358e-13,3653
