code,config,d_param_max,d_param_rel_max,d_param_span_max,d_crit_calib,d_nse_cal,d_kge_cal,d_nse_val,d_kge_val,nse_cal_R,nse_val_R,kge_cal_R,kge_val_R,n_runs_R,n_runs_HS,n_iter_R,n_iter_HS
E540651001,GR5J_NSE,2.5909018360359976e-15,2.5909018360359976e-15,1.0947818981450161e-16,8.638432240105085e-16,8.638432240105085e-16,2.400655048851586e-15,3.845246671135069e-15,9.433675589449612e-15,0.899649491524119,0.866178260780419,0.924933405285578,0.906191569611995,786,787,54,54
E540651001,GR6J_NSE,1.706410575000826e-16,1.706410575000826e-16,2.0852988536095543e-17,1.8487910969642246e-15,1.8487910969642246e-15,2.7581129278870673e-15,7.759882677699294e-15,1.0932801277852046e-14,0.900769448572242,0.872740056969698,0.925818856370777,0.913947575528376,1751,1751,85,85
E540651001,CemaNeigeGR4J_NSE,2.256036195220875e-15,2.256036195220875e-15,1.0818506015430428e-20,1.507251063234152e-15,1.507251063234152e-15,1.7772068714867848e-15,1.627056834523337e-14,1.3053374323294009e-14,0.883905582850612,0.805173575538608,0.93705159689403,0.901557234900234,1352,1352,54,54
F453000101,GR4J_NSE,3.361807129329493e-16,3.361807129329493e-16,1.3033117835059715e-18,2.791663019736235e-14,2.791663019736235e-14,5.81793563064244e-14,5.164604649631149e-14,5.053008376937568e-14,0.763569310554432,0.642753331344791,0.847274796815064,0.804157833712271,297,297,29,29
F453000101,GR4J_KGE,6.105910268433585e-16,6.105910268433585e-16,1.5273184962960602e-20,1.960303451057902e-14,3.32430669210503e-14,1.960303451057902e-14,6.352562566393904e-14,5.642268986802897e-15,0.754775136004082,0.606444069646714,0.877846584027752,0.806752462814151,341,342,34,34
F453000101,GR5J_NSE,1.814421439117013e-15,1.814421439117013e-15,2.919418395053376e-16,8.047512433866494e-15,8.047512433866494e-15,5.412556486641303e-14,9.372753994125481e-14,5.979430032638061e-14,0.772567795202989,0.642010747026952,0.840991574350807,0.776116154483325,917,918,66,66
F453000101,GR6J_NSE,2.217967380599764e-16,2.217967380599764e-16,1.0426494268047772e-17,2.3308140850887395e-15,2.3308140850887395e-15,1.451944150063996e-16,1.585462393534116e-14,4.501743766454807e-15,0.66685380203374,0.353627200318479,0.76464581959039,0.54256545483015,1085,1085,32,32
F453000101,CemaNeigeGR4J_NSE,1.8000802936362762e-15,1.8000802936362762e-15,2.1178816481972038e-16,2.489527292404733e-14,2.489527292404733e-14,6.132546159141048e-14,6.223701906645418e-14,5.340156295537848e-14,0.762587089485249,0.64575832991804,0.845446799820856,0.804576283448763,1253,1254,46,46
H232201001,GR4J_NSE,4.768616830723488e-16,4.768616830723488e-16,9.774838376294785e-19,0.0,0.0,2.689005503951491e-15,2.0614084395303532e-15,7.612346687413636e-15,0.838007028029466,0.861719980056429,0.825749908651124,0.831316741107791,200,200,17,17
H232201001,GR4J_KGE,5.086506159224105e-16,5.086506159224105e-16,6.516558917529857e-19,2.48381328706e-16,9.731687501432002e-16,2.48381328706e-16,1.3477927936809311e-15,5.9715248570024725e-15,0.798583099923063,0.823734204419544,0.893966571810466,0.89241368759466,193,193,16,16
H232201001,GR5J_NSE,9.427738967813144e-16,9.427738967813144e-16,1.3033117835059715e-17,1.3155880605912088e-16,1.3155880605912088e-16,2.393600646003459e-15,8.880324448303083e-16,6.982400354695293e-15,0.843898677619677,0.875143832595119,0.881276394334976,0.890417137671017,1032,1032,76,76
H232201001,GR6J_NSE,4.773286304968306e-16,4.773286304968306e-16,2.606623567011943e-18,0.0,0.0,1.2573901636213909e-15,1.9004820976859902e-15,6.766809880684032e-15,0.851616600096035,0.876269520752356,0.88295825492035,0.885972036851405,1100,1100,33,33
H232201001,CemaNeigeGR4J_NSE,7.592997767752535e-16,7.592997767752535e-16,9.774838376294786e-17,3.726853512921587e-16,3.726853512921587e-16,8.99922862537974e-16,1.5570336431435765e-15,7.502270300552846e-15,0.893694657524777,0.855644728947798,0.863580812966418,0.85831265535066,979,979,25,25
H248201001,GR4J_NSE,2.7432869077834613e-16,2.7432869077834613e-16,1.3033117835059715e-18,6.0198994915445545e-16,6.0198994915445545e-16,8.380521173972404e-16,2.4398076849361935e-16,2.5191748766394326e-16,0.922127542315745,0.910090603845435,0.927336261199653,0.881417987230953,224,224,20,20
H248201001,GR4J_KGE,1.6047761657379719e-16,1.6047761657379719e-16,1.3033117835059715e-18,2.32992128883996e-16,1.4644559894196968e-15,2.32992128883996e-16,0.0,1.6865435601948176e-15,0.909735518974599,0.901589686530113,0.953013331345561,0.921596258264255,474,474,48,48
H248201001,GR5J_NSE,7.8964394442074055e-16,7.8964394442074055e-16,7.819870701035828e-18,0.0,0.0,4.312289718696532e-15,2.423693041366295e-16,1.2587467897249175e-15,0.927003224233754,0.916141611727611,0.926840066269636,0.882006638418344,1580,1581,129,129
H248201001,GR6J_NSE,4.4112304727224496e-16,4.4112304727224496e-16,1.3033117835059715e-18,0.0,0.0,1.4223263311813303e-15,0.0,6.234305048436106e-16,0.923223643829405,0.907336513704246,0.936682110387183,0.89041442149487,1230,1230,44,44
H248201001,CemaNeigeGR4J_NSE,9.653089518753406e-16,9.653089518753406e-16,8.145698646912322e-17,7.179537910963835e-16,7.179537910963835e-16,3.4541152777385585e-15,0.0,2.3593899888981245e-15,0.927822685855373,0.906089999718634,0.932119084780774,0.894054716139969,1110,1110,34,34
